Track Name,Artist Name(s),Track URL,Album Name,Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Explicit,Popularity,ISRC,Added At,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights
Dancing Queen,ABBA,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FABBA%20-%20Dancing%20Queen%20(Official%20Lyric%20Video).mp3?alt=media,Arrival,ABBA,1976,https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0,1,2,230400,FALSE,87,SEAYD7601020,2021-08-08T09:26:31Z,"europop,swedish pop",0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,4,,Polar Music International AB,"C © 2001 Polar Music International AB, P This Compilation ℗ 2001 Polar Music International AB"
Back In Black,AC/DC,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FACDC%20-%20Back%20In%20Black%20(Official%20Video).mp3?alt=media,Back In Black,AC/DC,7/25/1980,https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae,1,6,255493,FALSE,87,AUAP08000046,2021-08-08T09:26:31Z,"australian rock,hard rock,rock",0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,4,,Columbia,P (P) 1980 Leidseplein Presse B.V.
Highway to Hell,AC/DC,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FACDC%20-%20Highway%20to%20Hell%20(Official%20Video).mp3?alt=media,Highway to Hell,AC/DC,7/27/1979,https://i.scdn.co/image/ab67616d0000b27351c02a77d09dfcd53c8676d0,1,1,208400,FALSE,88,AUAP07900028,2021-08-08T09:26:31Z,"australian rock,hard rock,rock",0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,4,,Columbia,P (P) 1979 Leidseplein Presse B.V. for U.S. and Australian Music Corporation Pty Ltd. for rest of world
Take on Me,a-ha,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2Fa-ha%20-%20Take%20On%20Me%20(Official%20Video).mp3?alt=media,Hunting High and Low,a-ha,6/1/1985,https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53,1,1,225280,FALSE,90,USWB19901214,2021-08-08T09:26:31Z,"new romantic,new wave,new wave pop,permanent wave,synthpop",0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4,,Rhino,"C © 1985 Warner Records Inc., P ℗ 1985 Warner Records Inc."
Let Me Down Slowly,Alec Benjamin,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FAlec%20Benjamin%20-%20Let%20Me%20Down%20Slowly%20[Official%20Music%20Video].mp3?alt=media,Narrated For You,Alec Benjamin,11/16/2018,https://i.scdn.co/image/ab67616d0000b273459d675aa0b6f3b211357370,1,4,169353,FALSE,90,USAT21802284,2021-08-08T09:26:31Z,"alt z,pop,pov: indie",0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,4,,2018,"C 2018, P 2018"
7 rings,Ariana Grande,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FAriana%20Grande%20-%207%20rings%20(Official%20Video).mp3?alt=media,"thank u, next",Ariana Grande,2/8/2019,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,1,10,178626,TRUE,87,USUM71900110,2021-08-08T09:26:31Z,pop,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,4,,Republic Records,"C © 2019 Republic Records, a division of UMG Recordings, Inc., P ℗ 2019 Republic Records, a division of UMG Recordings, Inc."
The Nights,Avicii,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FAvicii%20-%20The%20Nights.mp3?alt=media,The Days / Nights,Avicii,1/1/2014,https://i.scdn.co/image/ab67616d0000b2730ae4f4d42e4a09f3a29f64ad,1,2,176658,FALSE,89,CH3131340464,2021-08-08T09:26:31Z,"edm,pop,pop dance",0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,4,,Universal Music AB,"C © 2014 Avicii Music AB, under exclusive license to Universal Music AB, P ℗ 2014 Avicii Music AB, under exclusive license to Universal Music AB"
everything i wanted,Billie Eilish,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FBillie%20Eilish%20-%20everything%20i%20wanted%20(Official%20Music%20Video).mp3?alt=media,everything i wanted,Billie Eilish,11/13/2019,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249,1,1,245425,FALSE,87,USUM71922577,2021-08-08T09:26:31Z,"art pop,electropop,pop",0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,4,,Darkroom/Interscope Records,"C © 2019 Darkroom/Interscope Records, P ℗ 2019 Darkroom/Interscope Records"
lovely (with Khalid),"Billie Eilish, Khalid","https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FBillie%20Eilish,%20Khalid%20-%20lovely.mp3?alt=media",lovely (with Khalid),"Billie Eilish, Khalid",4/19/2018,https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c,1,1,200185,FALSE,91,USUM71804190,2021-08-08T09:26:31Z,"art pop,electropop,pop,pop,pop r&b",0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,4,,Darkroom,"C © 2018 Darkroom/Interscope Records, P ℗ 2018 Darkroom/Interscope Records"
Livin' On A Prayer,Bon Jovi,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FBon%20Jovi%20-%20Livin'%20On%20A%20Prayer.mp3?alt=media,Slippery When Wet,Bon Jovi,8/16/1986,https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac,1,3,249293,FALSE,89,USPR38619998,2021-08-08T09:26:31Z,"glam metal,rock",0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,4,,Island Records,"C © 1986 UMG Recordings, Inc., P ℗ 1986 UMG Recordings, Inc."
